Species	Date_described	Marker	Version	ITS_GenBank_Accession	Genbank_species_names	reference	date_genbank_entry	Tax_ID	Marker_complete	genbank_entry_len	start	stop	Comments_on_ITS_region	ITS_Clade	sub-clade	UK	Geographical_distribution	Recorded_Host	Preferred_environment	DNA_only	Comment_General	Temp._Optima	Temp._Maxima	Cox	Evidence_type	Assertion_method	Source	Xref_accession	Confidence	Notes	Change_note
Phytophthora cryptogea	1919	ITS	1	AY659421	Phytophthora_cryptogea_isolate	" Mostowfizadeh-Ghalamfarsa,R., Panabieres,F., Banihashemi,Z. and Cooke,D.E. title: Phylogenetic relationship of Phytophthora cryptogea Pethybr. & Laff and P. drechsleri Tucker journal: Fungal Biol 114 (4), 325-339 (2010) medline id:  pubmed id: 20943142 comment:  location: [0:796] "	29-Jul-10	4786	Yes	796	1	173	AS river survey	8	a	Scotland	Widespread	Wide range	Multiple		Widely found in temperate regions - probably widespread										
Phytophthora cryptogea	1919	ITS	1	AY659433	Phytophthora_cryptogea_isolate	" Mostowfizadeh-Ghalamfarsa,R., Panabieres,F., Banihashemi,Z. and Cooke,D.E. title: Phylogenetic relationship of Phytophthora cryptogea Pethybr. & Laff and P. drechsleri Tucker journal: Fungal Biol 114 (4), 325-339 (2010) medline id:  pubmed id: 20943142 comment:  location: [0:797] "	29-Jul-10	4786	Yes	797	1	174	AS river survey	8	a	Scotland	Widespread	Wide range	Multiple		Widely found in temperate regions - probably widespread										
Phytophthora cryptogea	1919	ITS	1	AY659438	Phytophthora_cryptogea_isolate	" Mostowfizadeh-Ghalamfarsa,R., Panabieres,F., Banihashemi,Z. and Cooke,D.E. title: Phylogenetic relationship of Phytophthora cryptogea Pethybr. & Laff and P. drechsleri Tucker journal: Fungal Biol 114 (4), 325-339 (2010) medline id:  pubmed id: 20943142 comment:  location: [0:796] "	29-Jul-10	4786	Yes	796	1	173	AS river survey	8	a	Scotland	Widespread	Wide range	Multiple		Widely found in temperate regions - probably widespread										
Phytophthora cyperi	1935	ITS	1	na					NO					na		Scotland	Unknown	Sedge	Native		"Unculturable species, reported on NBN gateway only"										
Phytophthora cyperi-bulbosi 	1953	ITS	1	na					NO					na		Not in UK															
Phytophthora dauci	2013	ITS	1	KC478761	Phytophthora_dauci	" Bertier,L., Brouwer,H., de Cock,A.W., Cooke,D.E., Olsson,C.H. and Hofte,M. title: The expansion of Phytophthora clade 8b: three new species associated with winter grown vegetable crops journal: Persoonia 31, 63-76 (2013) medline id:  pubmed id: 24761035 comment:  location: [0:810] "	26-Jun-13	1320216	Yes	810	1	169		8	b	Not in UK		Carrot	Farmed land		Carrots France and Australia	12-21	21	KC478731							
Phytophthora drechsleri	1931	ITS	1	AF266798	Phytophthora_drechsleri	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:797] "	17-Dec-15	4794		797	1	172		8	a	Scotland	Single finding	Water only	n/a	DNA only	High temperature species not adapted to Scottish climate			DNA only							
Phytophthora elongata	2010	ITS	1	JX113301	Phytophthora_elongata	" Burgess,T.I. title: Phytophthora isolates from Western Australia journal: Unpublished medline id:  pubmed id:  comment:  location: [0:806] "	06-Aug-12	905063	Yes	806	1	192		2		Not in UK	Australia	Eucalyptus						GQ847767							
Phytophthora eriugena	1979	ITS	1	na					NO					na		Not in UK															
Phytophthora erythroseptica	1913	ITS	1	AF266797 	Phytophthora_erythroseptica	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:796] "	17-Dec-15	111171		796	1	172	personal reports on potatoes in Cheshire area. Same sequence as 8Phytophthora_himalayensis_CBS35759	8	a	Scotland	Wide	Potato 	Farmed land		Cause of potato pink rot			DNA only							
Phytophthora europaea	2002	ITS	1	AF449493	Phytophthora_europaea_isolate	" Jung,T., Hansen,E., Winton,L., Osswald,W. and Delatour,C. title: Three new species of Phytophthora from European oak forests journal: Mycol. Res. (2002) In press medline id:  pubmed id:  comment:  location: [0:859] "	17-Dec-01	180900	Yes	859	27	225		7	a	Not in UK						21-27	27								
Phytophthora fallax	2006	ITS	1	DQ297391	Phytophthora_fallax_isolate	" Dick,M.A., Dobbie,K., Cooke,D.E. and Brasier,C.M. title: Phytophthora captiosa sp. nov. and P. fallax sp. nov. causing crown dieback of Eucalyptus in New Zealand journal: Mycol. Res. 110 (PT 4), 393-404 (2006) medline id:  pubmed id: 16650734 comment:  location: [0:799] "	18-May-06	360399	Yes	799	1	168		9	a	Not in UK						15-20	25								
Phytophthora fallax Voucher	2012	ITS	1	HQ261559	Phytophthora_fallax_voucher	"Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H.,Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.MHu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C.,Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A(DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer)"	22-Jun-12	360399			1	168		9																	
Phytophthora fallax SPLA61	2012	ITS	1	HQ013223	Phytophthora_fallax_voucher	"Rea,A.J., Burgess,T.I., Hardy,G.E.St.J., Stukely,M.J.C. and Jung,T.Two novel and potentially endemic species of Phytophthora associated with episodic dieback of Kwongan vegetation in the south-west of Western Australia Plant Pathol. 60 (6), 1055-1068 (2011)2  (bases 1 to 797) (29-JUL-2010) Centre for Phytophthora Research and Managenment, Murdoch University, South Street, Murdoch, Western Australia 6163, Australia"	42185	360399		797				9																	
Phytophthora flexuosa	2016	ITS	1	KU517152	Phytophthora_flexuosa_isolate	" Jung,T., Horta Jung,M., Scanu,B., Seress,D., Kovacs,G.M., Maia,C., Perez-Sierra,A., Chandelier,T.-T., Heungens,H., van Poucke,K., Abad-Campos,P., Leon,M., Cacciola,S.O. and Bakonyi,J. title: Six new Phytophthora species from ITS Clade 7a including two sexually functional heterothallic hybrid species detected in natural ecosystems in Taiwan journal: Persoonia 38, 100-135 (2017) medline id:  pubmed id:  comment:  location: [0:831] "	24-Oct-16	1861859	Yes	831	1	199	Jung Persoonia 2016	7		Not in UK	Taiwan		Forests		Survey of generally healthy forests in Taiwan	n/a	n/a								
Phytophthora fluvialis	2011	ITS	1	JF701436	Phytophthora_fluvialis	" Jung,T., Burgess,T.I., Huberli,D., Hardy,G.E.S.J. and Stukely,M.J.C. title: Fungal Planet 87: Phytophthora fluvialis journal: Persoonia 26, 146-147 (2011) medline id:  pubmed id:  comment:  location: [0:819] "	29-Jun-11	1049592	Yes	819	1	195		6		Not in UK	W Australia		Waterways					JF701442							
Phytophthora foliorum	2006	ITS	1	EF120469	Phytophthora_foliorum_internal	" Donahoo,R., Blomquist,C.L., Thomas,S.L., Moulton,J.K., Cooke,D.E. and Lamour,K.H. title: Phytophthora foliorum sp. nov., a new species causing leaf blight of azalea journal: Mycol. Res. 110 (PT 11), 1309-1322 (2006) medline id:  pubmed id: 17070028 comment:  location: [0:834] "	17-Dec-06	415976	Yes	834	21	188		8	c	Scotland	"USA, UK"	Rhododendron plant	Azalea/Rhodo		reported in Scotland in 2016	18-22	tested to 28								
Phytophthora formosa	2016	ITS	1	KU517153	Phytophthora_formosa_isolate	" Jung,T., Horta Jung,M., Scanu,B., Seress,D., Kovacs,G.M., Maia,C., Perez-Sierra,A., Chandelier,T.-T., Heungens,H., van Poucke,K., Abad-Campos,P., Leon,M., Cacciola,S.O. and Bakonyi,J. title: Six new Phytophthora species from ITS Clade 7a including two sexually functional heterothallic hybrid species detected in natural ecosystems in Taiwan journal: Persoonia 38, 100-135 (2017) medline id:  pubmed id:  comment:  location: [0:831] "	28-Oct-16	1913598	Yes	831	1	199	Jung Persoonia 2016	7		Not in UK	Taiwan		Forests		Survey of generally healthy forests in Taiwan	n/a	n/a								
Phytophthora fragariae	1940	ITS	1	AF266762	Phytophthora_fragariae	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:831] "	17-Dec-15	53985		831	1	199		7	a	Scotland	Widespread	Strawberry	Farmed land		Cause of strawberry red core	18-24	27								
Phytophthora fragariaefolia	2014	ITS	1	AB305060	Phytophthora_fragariaefolia	" Rahman,M.Z., Uematsu,S., Takeuchi,T., Shirai,K., Ishiguro,Y., Suga,H. and Kageyama,K. title: Two new species, Phytophthora nagaii sp. nov. and P. fragariaefolia sp. nov., causing serious diseases on rose and strawberry plants, respectively, in Japan journal: J. Gen. Plant Pathol. 80, 348-365 (2014) medline id:  pubmed id:  comment:  location: [0:906] "	06-Aug-14	1490495		906	33	235	"distinct by several bp in ITS1 so UK data likely good, 2 ITS used as JP & PL different"	7		Scotland	Single finding	Water only	n/a	DNA only	Reported on Strawberry in Japan and ash forest Poland (june 2016)	25-28	33	DNA evidence IGB							
Phytophthora fragariaefolia	2014	ITS	1	KX094871	Phytophthora_fragariaefolia	" Tkaczyk,M., Borys,M., Nowakowska,J.A. and Oszako,T. title: Phytophthora species in ash stands in Bialowieza journal: Unpublished medline id:  pubmed id:  comment:  location: [0:840] "	01-May-16	1490495	Yes	840	6	208	"distinct by several bp in ITS1 so UK data likely good, 2 ITS used as JP & PL different"	7		Scotland	Single finding	Water only	n/a	DNA only	Reported on Strawberry in Japan and ash forest Poland (june 2016)	25-28	33	DNA evidence IGB							
Phytophthora frigida	2007	ITS	1	HQ261569	Phytophthora_frigida_voucher	" Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H., Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C., Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. title: DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer journal: Mol Ecol Resour 11 (6), 1002-1011 (2011) medline id:  pubmed id: 21689384 comment:  location: [0:808] "	22-Jun-12	669489	Yes	808	1	193		2		Not in UK															
Phytophthora gallica	2008	ITS	1	DQ286726	Phytophthora_gallica	" Jung,T. and Nechwatal,J. title: Phytophthora gallica sp. nov., a new species from rhizosphere soil of declining oak and reed stands in France and Germany journal: Mycol. Res. 112 (PT 10), 1195-1205 (2008) medline id:  pubmed id: 18693002 comment:  location: [0:818] "	14-Oct-08	359324	NO	818	1	190	DNA data only IGB	10		Scotland	Single finding	Water only	n/a	DNA only	Reported on Reeds and Oak in mainland Europe	20-21	24								
Phytophthora gallica	2008	ITS	1	KF286894	Phytophthora_gallica	"Milenkowic,I., Sikora,K., Borys,M., Oszako,T., Keca,N. and Nowakowska,J.A.Direct Submission Submitted (24-JUN-2013) Forest Research Institute, Braci Lesnej 3, Sekocin Stary, Raszyn 05-090, Poland"		359324		855	38	227	DNA data only IGB	10		Scotland	Single finding	Water only	n/a	DNA only	Reported on Reeds and Oak in mainland Europe	20-21	24								
Phytophthora gemini	2011	ITS	1	FJ217679	Phytophthora_gemini	" Man In 't Veld,W.A., Rosendahl,K.C., Brouwer,H. and de Cock,A.W. title: Phytophthora gemini sp. nov., a new species isolated from the halophilic plant Zostera marina in the Netherlands journal: Fungal Biol 115 (8), 724-732 (2011) medline id:  pubmed id: 21802052 comment:  location: [0:807] "	04-Aug-11	565057	Yes	807	1	187	same as P. lacrimae_P15880	6		Not in UK	Netherlands	Zostera	Marine grass												
Phytophthora gemini	2011	ITS	1	FJ217680	Phytophthora_gemini	" Man In 't Veld,W.A., Rosendahl,K.C., Brouwer,H. and de Cock,A.W. title: Phytophthora gemini sp. nov., a new species isolated from the halophilic plant Zostera marina in the Netherlands journal: Fungal Biol 115 (8), 724-732 (2011) medline id:  pubmed id: 21802052 comment:  location: [0:807] "	04-Aug-11	565057	Yes	807	1	187		6		Not in UK	Netherlands	Zostera	Marine grass												
Phytophthora gibbosa	2011	ITS	1	HQ012933	Phytophthora_gibbosa	" Jung,T., Stukely,M.J., Hardy,G.E., White,D., Paap,T., Dunstan,W.A. and Burgess,T.I. title: Multiple new Phytophthora species from ITS Clade 6 associated with natural ecosystems in Australia: evolutionary and ecological implications journal: Persoonia 26, 13-39 (2011) medline id:  pubmed id: 22025801 comment:  location: [0:820] "	01-Aug-11	880411	Yes	820	1	194	saem ITS as Phytophthora_gregata_HQ012942	6		Not in UK															
Phytophthora glovera	2011	ITS	1	AF279124	Phytophthora_glovera_isolate	" Shew,D., Abad,G., Olivera,G. and Abad,J. title: Morphological and molecular characterization of Phytophthora glovera nov. sp. from tobacco and its phylogenetic relationship with other Phytophthora spp. deduced from ITS analysis (ITS1, ITS2) journal: Unpublished medline id:  pubmed id:  comment:  location: [0:752] "	07-Mar-03	132615		752	1	140		2	b	Not in UK	Brazil	Tobacco	Farmed land			25	30								
Phytophthora gonapodyides											1	194																			
Phytophthora gonapodyides voucher				HQ643236	Phytophthora_gonapodyides_voucher						1	194		6																	
Phytophthora gonapodyides_H_14	1927	ITS	1	JF912516	Phytophthora_gonapodyides_isolate	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:817] "	17-Dec-15	1190534		817			AS river survey	6		Scotland	Widespread	Wide range	Water 		Generally weak pathogen associated with rivers										
Phytophthora gregata	2011	ITS	1	NA					NO				AS river survey. Accession HQ012942 is same as P. gibbosa HQ012933	6		Scotland	Single finding	Water only	n/a		Reported on rhizosphere soil in Australia			like taxon raspberry clade 6							
Phytophthora hedraiandra	2004	ITS	1	AY707987	Phytophthora_hedraiandra	" de Cock,A.W.A.M. and Levesque,C.A. title: New species of Pythium and Phytophthora journal: Stud. Mycol. 50, 481-487 (2004) medline id:  pubmed id:  comment:  location: [0:792] "	04-Jun-10	295481	Yes	792	1	184	viburnam RHS 2014 NDR 	1		UK	Single finding	Viburnum	Nursery												
Phytophthora heveae	1929	ITS	1	HQ643238	Phytophthora_heveae_voucher	" Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H., Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C., Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. title: DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer journal: Mol Ecol Resour 11 (6), 1002-1011 (2011) medline id:  pubmed id: 21689384 comment:  location: [0:775] "	16-Jan-15	129351	Yes	775	1	161		5		Not in UK						21-27	27 (32.5)								
Phytophthora hibernalis	1925	ITS	1	HQ643240	Phytophthora_hibernalis_voucher	" Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H., Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C., Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. title: DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer journal: Mol Ecol Resour 11 (6), 1002-1011 (2011) medline id:  pubmed id: 21689384 comment:  location: [0:792] "	16-Jan-15	175300	Yes	792	1	169	"AS nursery survey, Balloch"	8	c	Scotland	Single finding	Ornamentals	Nursery		"Kalmia in Scotland, Chamaecyparis in England. found in UK in 1978 Brasier and Strouts"	15-21	25	HQ708302							
Phytophthora himalsilva	2011	ITS	1	HM752789	Phytophthora_himalsilva_isolate	" Vettraino,A.M., Brasier,C.M., Brown,A.V. and Vannini,A. title: Phytophthora himalsilva sp. nov. an unusually phenotypically variable species from a remote forest in Nepal journal: Fungal Biol 115 (3), 275-287 (2011) medline id:  pubmed id: 21354534 comment:  location: [0:780] "	16-Apr-14	928215	Yes	780	1	160		2	c	Not in UK															
Phytophthora humicola	1985	ITS	1	FJ196747	Phytophthora_humicola	"Suh,S.-O. and Zhou,J. ATCC Mycology Authentication Project Unpublished"	08-Oct-08	129352	NO	802	3	193	updated to HQ643245 used to be AF266792 sep 2017	6		Not in UK															
Phytophthora humicola	1985	ITS	1	HQ643244	Phytophthora_humicola_voucher	"Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H.,  Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C., Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer Mol Ecol Resour 11 (6), 1002-1011 (2011)"	16-Jan-15	129352	NO	802	1	184	updated to HQ643245 used to be AF266792 sep 2017	6		Not in UK															
Phytophthora humicola	1985	ITS	1	HQ643245	Phytophthora_humicola_voucher	" Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H., Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C., Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. title: DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer journal: Mol Ecol Resour 11 (6), 1002-1011 (2011) medline id:  pubmed id: 21689384 comment:  location: [0:799] "	16-Jan-15	129352	NO	799	1	184	updated to HQ643245 used to be AF266792 sep 2017	6		Not in UK															
Phytophthora hydrogena	2014	ITS	1	KC249960	Phytophthora_hydrogena_isolate	" Yang,X., Gallegly,M.E. and Hong,C. title: A high-temperature tolerant species in clade 9 of the genus Phytophthora: P. hydrogena sp. nov journal: Mycologia 106 (1), 57-65 (2014) medline id:  pubmed id: 24396104 comment:  location: [0:744] "	10-Mar-14	1286608	Yes	744			from caryae paper	9		Not in UK					baited from waterways (also knonw as unk 3 - stamler 2016)										
Phytophthora hydropathica	2010	ITS	1	HG934150	Phytophthora_hydropathica_18S	"Vitale,S., Luongo,L., Galli,M. and Belisario,A.First Report of Phytophthora hydropathica Causing Wilting and ShootDieback on Viburnum in Italy Plant Dis. 98 (11), 1582-1582 (2014)"	08-Nov-14	565288		788			from brazee paper	9		Not in UK		ornamentals			Causes lesions on rhodo and kalmia but also baited from rivers										
Phytophthora hydropathica	2010	ITS	1	KJ631555	Phytophthora_hydropathica_isolate	" Brazee,N.J., Wick,R.L. and Hulvey,J. title: Phytophthora species recovered from the Connecticut River Valley in Massachusetts, USA journal: Unpublished medline id:  pubmed id:  comment:  location: [0:736] "	29-Jul-15	565288	NO	736			from brazee paper	9		Not in UK		ornamentals			Causes lesions on rhodo and kalmia but also baited from rivers										
Phytophthora idaei	1995	ITS	1	AF266773	Phytophthora_idaei	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:792] "	17-Dec-15	53986		792	1	184		1		Scotland	Widespread	Raspberry	Farmed land		Causes root disease in raspberry	18-24	27								
Phytophthora ilicis	1957	ITS	1	AJ131990	Phytophthora_ilicis_5.8S	" Cooke,D.D.E.L., Jung,T., Williams,N.A., Schubert,R., Bahnweg,G., Oswald,W. and Duncan,J.M. title: Molecular evidence supports Phytophthora quercina as a distinct species journal: Unpublished medline id:  pubmed id:  comment:  location: [0:786] "	01-Jul-99	89335	Yes	786	1	171	described in UK on holly	3		UK	Widespread	Holly	Multiple		Cause of holly twig blight	15-18	24								
Phytophthora ilicis voucher P3939	1957	ITS	1	HQ261583	Phytophthora_ilicis_voucher	"Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H.,Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.MHu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C.,Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A(DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer)"	22-Jun-12	89335			1	172		3																	
Phytophthora infestans	1876	ITS	1	EU216567	Phytophthora_infestans_isolate	" Vargas,A.M., Quesada Ocampo,L.M., Cespedes,M.C., Carreno,N., Gonzalez,A., Rojas,A., Zuluaga,A.P., Myers,K., Fry,W.E., Jimenez,P., Bernal,A.J. and Restrepo,S. title: Characterization of Phytophthora infestans populations in Colombia: first report of the A2 mating type journal: Phytopathology 99 (1), 82-88 (2009) medline id:  pubmed id: 19055438 comment:  location: [0:856] "	13-Sep-10	4787	Yes	856	31	217		1		Scotland	Widespread	Potato 	Farmed land		Causes potato blight	18-20	24								
Phytophthora inflata	1949	ITS	1	NA					NO				Schlenzig NDR	2		Scotland	n/a	n/a	n/a		Re-described as P. plurivora										
Phytophthora insolita	1981	ITS	1	AF271222	Phytophthora_insolita_internal	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:816] "	24-Jul-00	127442		816				9	a	Not in UK															
Phytophthora intercalaris	2016	ITS	1	KT163268	Phytophthora_intercalaris_isolate	" Yang,X., Balci,Y., Brazee,N.J., Loyd,A.L. and Hong,C.X. title: A unique species in Phytophthora clade 10: Phytophthora intercalaris sp. nov. recovered from stream and irrigation water in eastern United States journal: Int. J. Syst. Evol. Microbiol. 66 (2), 527-529 (2016) medline id:  pubmed id: 26620125 comment:  location: [0:848] "	08-Mar-16	1747825	Yes	848	1	201	Yang et al 	10		Not in UK	USA		Water		Streams and Irigation water in USA										
Phytophthora intricata	2016	ITS	1	KU517155	Phytophthora_intricata_isolate	" Jung,T., Horta Jung,M., Scanu,B., Seress,D., Kovacs,G.M., Maia,C., Perez-Sierra,A., Chandelier,T.-T., Heungens,H., van Poucke,K., Abad-Campos,P., Leon,M., Cacciola,S.O. and Bakonyi,J. title: Six new Phytophthora species from ITS Clade 7a including two sexually functional heterothallic hybrid species detected in natural ecosystems in Taiwan journal: Persoonia 38, 100-135 (2017) medline id:  pubmed id:  comment:  location: [0:830] "	24-Oct-16	1861860	Yes	830	1	198	Jung Persoonia 2016	7		Not in UK	Taiwan		Forests		Survey of generally healthy forests in Taiwan	n/a	n/a								
Phytophthora inundata	2003	ITS	1	AF266791	Phytophthora_inundata	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:816] "	42355	244122		816	1	193		6		Scotland	Single finding	Water only	n/a	DNA only	Minor pathogen associated with rivers			was O-group							
Phytophthora ipomoeae	2002	ITS	1	KF777191	Phytophthora_ipomoeae	" Crous,P.W., Wingfield,M.J., Guarro,J., Cheewangkoon,R., van der Bank,M., Swart,W.J., Stchigel,A.M., Cano-Lira,J.F., Roux,J., Madrid,H., Damm,U., Wood,A.R., Shuttleworth,L.A., Hodges,C.S., Munster,M., de Jesus Yanez-Morales,M., Zuniga-Estrada,L., Cruywagen,E.M., de Hoog,G.S., Silvera,C., Najafzadeh,J., Davison,E.M., Davison,P.J.N., Barrett,M.D., Barrett,R.L., Manamgoda,D.S., Minnis,A.M., Kleczewski,N.M., Flory,S.L., Castlebury,L.A., Clay,K., Hyde,K.D., Mausse-Sitoe,S.N.D., Chen,S., Lechat,C., Hairaud,M., Lesage-Meessen,L., Pawlowska,J., Wilk,M., Sliwinska-Wyrzychowska,A., Metrak,M., Wrzosek,M., Pavlic-Zupanc,D., Maleme,H.M., Slippers,B., Mac Cormack,W.P., Archuby,D.I., Grunwald,N.J., Telleria,M.T., Duenas,M., Martin,M.P., Marincowitz,S., de Beer,Z.W., Perez,C.A., Gene,J., Marin-Felix,Y. and Groenewald,J.Z. title: Fungal Planet description sheets 154-213: Higher order classification of taxonomic novelties journal: Persoonia 31, 186-296 (2013) medline id:  pubmed id:  comment: Publication Status: Online-Only location: [0:891] "	12-Jan-17	283007	Yes	891	12	198		1		Not in UK						18-24	24								
Phytophthora iranica	1971	ITS	1	AJ131987	Phytophthora_iranica_5.8S	" Cooke,D.E.L., Jung,T., Williams,N.A., Schubert,R., Bahnweg,G., Oswald,W. and Duncan,J.M. title: Molecular evidence supports Phytophthora quercina as a distinct species journal: Unpublished medline id:  pubmed id:  comment:  location: [0:791] "	01-Jul-99	67592	Yes	791	1	181		1		Not in UK															
Phytophthora irrigata	2008	ITS	1	EU334634	Phytophthora_sp._23J7	" Hong,C., Gallegly,M.E., Richardson,P.A., Kong,P. and Moorman,G.W. title: Phytophthora irrigata, a new species isolated from irrigation reservoirs and rivers in Eastern United States of America journal: FEMS Microbiol. Lett. 285 (2), 203-211 (2008) medline id:  pubmed id: 18547326 comment:  location: [0:1090] "	29-Jul-08	491012	Yes	1090				9		Not in UK	USA	Water only			Irrigation water in USA										
Phytophthora italica	1996	ITS	1	na					NO					na		Not in UK															
Phytophthora japonica	1974	ITS	1	na					NO					na		Not in UK															
Phytophthora kernoviae	2005	ITS	1	AY940661	Phytophthora_kernoviae_isolate	" Brasier,C.M., Beales,P.A., Kirk,S.A., Denman,S. and Rose,J. title: Phytophthora kernoviae sp. nov., an invasive pathogen causing bleeding stem lesions on forest trees and foliar necrosis of ornamentals in the UK journal: Mycol. Res. 109 (PT 8), 853-859 (2005) medline id:  pubmed id: 16175787 comment:  location: [0:813] "	22-Nov-05	325452	Yes	813	1	168	AS nursery survey	10		Scotland	Limited	Ornamentals	Gardens		Limited findings on Rhododendron and Vaccinium	18-20	26	multiple							
Phytophthora lactucae	2013	ITS	1	KC478768	Phytophthora_lactucae	" Bertier,L., Brouwer,H., de Cock,A.W., Cooke,D.E., Olsson,C.H. and Hofte,M. title: The expansion of Phytophthora clade 8b: three new species associated with winter grown vegetable crops journal: Persoonia 31, 63-76 (2013) medline id:  pubmed id: 24761035 comment:  location: [0:811] "	26-Jun-13	1320217	Yes	811	1	170		8	b	Not in UK		Lettuce	Farmed land		all Greece	21	24	KC478738							
Phytophthora lacustris	2013	ITS	1	AF266793	Phytophthora_lacustris	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:817] "	17-Dec-15	1190534		817	1	194	AS river survey	6		Scotland	Limited	Water only	Water 		Isolated in one river and reported wth DNA barcoding	28-33	36	AY564181							
Phytophthora lateralis	1942	ITS	1	AF266804	Phytophthora_lateralis	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:797] "	17-Dec-15	129355		797	1	169	"recent - Schlenzig, Green"	8	c	Scotland	Widespread	Cypress sp.	Gardens		Increasing in frequency in semi-natural plantings	15-24	26								
